Timestamp,What is your max flash grade?,What is your max redpoint grade?,What is your max onsight grade on lead (YDS)? ,What is your max flash grade on lead (YDS)? ,What is your max redpoint grade on lead (YDS)? ,"What is your height, in inches?","What is your weight, in lbs?",What is your age?,What is your sex?,How long have you been climbing in years?,"What is your max pull up (in lbs, enter 0 if unknown)?","What is your max finger strength, two-handed, 3-5s on a 20mm edge (in lbs, enter 0 if unknown)?","What is your max finger strength, one-handed, 3-5s on a 20mm edge (in lbs, enter 0 if unknown)?",How many days a month (on average) do you typically climb inside?,How many days a month (on average) do you typically climb outside?,How many days a month (on average) do you complete a hangboarding workout?,How many days a month (on average) do you consume collagen?,How many days a month (on average) do you consume protein powder?,Do you eat healthy (by your standards?),"How many drinks (alcoholic beverages, on average) do you consume a week?",How many times a week (on average) do you consume THC?,How would you describe the grades at your home gym?,How would you describe the grades at other gyms?,How would you describe the grades at your home crag (the one you climb at the most)?,How would you describe the grades at other crags?,Have you had a finger injury in the last 6 months?,Have you had a finger injury in the last 2 years?
11/12/2022 21:24:03,V5,V5,,,,65,105,28,Female,1.5,0,0,0,12,3,0,0,0,Yes,0,0,3,3,3,3,No,No
11/12/2022 21:26:11,V3,V4,,,,72,170,28,Female,1,5,,,8,0,0,0,8,Yes,0,0,3,3,,,No,No
11/12/2022 21:26:31,V4,,,,,62,115,25,Female,2,0,,,8,0,0,6,0,Yes,0,1,3,3,3,3,No,No
11/12/2022 21:27:29,V8,V10,5.12c,5.12c,5.13,67,135,24,Female,15,55,0,0,12,5,4,2,0,Yes,5,0,4,3,3,3,No,No
11/12/2022 21:28:09,V5,V7,5.10a,5.10a,5.11a,60.5,112,23,Female,7,0,0,0,12,0.3,0,0,0,Yes,0.25,0,4,3,3,3,No,Yes
11/12/2022 21:30:09,V3,,,,,65,150,27,Female,0.16,0,0,0,15,0,0,0,30,No,0,0,,,,,No,No
11/12/2022 21:36:40,V3,V6,,,,68,150,26,Female,2,155,,,18,0,0,0,0,Yes,5,1,3,3,,,No,Yes
11/12/2022 21:51:46,V3,V5,5.9,5.9,5.10a,66,245,31,Female,2.5,0,245,245,12,1,1,0,25,No,3,0,3,3,3,3,No,No
11/12/2022 21:55:52,V3,,,,,62,110,24,Female,0.3,0,,,4,0,0,0,6,Yes,0,0,3,,,,No,No
11/12/2022 22:06:49,V0,V1,,,,68,270,29,Female,0.25,,,,11,0,0,0,10,Yes,1,1,3,2,,,No,No
11/12/2022 22:09:00,V5,V6,5.10c,5.10c,5.11d,72,168,29,Male,4,195,190,140,0,10,0,0,0,No,2,0,3,3,5,3,No,Yes
11/12/2022 22:17:26,V3,V4,,,,62,125,23,Female,1,125,,,7,0.5,0,0,0,Yes,0,0,4,3,,,No,No
11/12/2022 22:18:04,V4,V4,5.9,5.9,5.1,63,135,28,Female,2,135,135,97,16,4,13,25,25,Yes,0,3,5,3,4,4,No,No
11/12/2022 22:22:20,V6,V8,5.12c,5.12c,5.13a,61,90,26,Female,13,0,0,90,24,4,0,0,0,No,1,0,2,3,4,3,No,No
11/12/2022 22:29:22,V5,V7,,,,65,125,35,Female,8,9,0,0,12,2,0,30,30,Yes,1,7,3,2,3,4,No,Yes
11/12/2022 22:30:08,V6,V7,,,,73,136,19,Male,7,150,0,0,6,0,4,0,0,Yes,0,1,3,,4,3,No,No
11/12/2022 22:36:31,V3,,,,,63,150,32,Female,2,150,0,0,3,0,0,0,6,No,1,0,4,3,,,No,No
11/12/2022 22:45:52,V4,V4,5.11,5.11,5.11,66,140,31,Female,1,0,0,0,13,1,0,0,0,No,14,0,1,2,3,4,No,No
11/12/2022 23:25:17,V4,V5,5.9,5.9,5.9,63,130,32,Female,5,130,0,0,3,0,0,0,0,Yes,1,0,3,2,5,3,No,Yes
11/12/2022 23:38:44,V6,V8,,,,68,135,30,Male,6,225,,,12,0,8,0,0,Yes,8,0,4,3,,,Yes,Yes
11/12/2022 23:40:13,V3,V5,5.10d,5.10d,5.11b,74,170,27,Male,4,0,200,0,7,4,4,0,0,No,1,0,3,2,5,3,No,No
11/12/2022 23:42:31,V6,V7,5.11c,5.11d,5.12a,61.8,97,18,Female,6,0,163,0,12,0,0,0,0,Yes,0,0,3,3,4,4,No,No
11/12/2022 23:44:52,V2,,,5.9,5.1,66,,140,Female,3,140,0,0,20,1,0,0,0,Yes,4,0,4,3,3,3,No,No
11/13/2022 0:00:24,V6,V6,,,,62.5,140,23,Female,2,,,,8,3,0,0,0,No,,,2,3,4,,Yes,Yes
11/13/2022 0:01:29,V4,V5,5.10c,5.10d,5.11b,66,180,20,Female,2,0,0,0,12,1,0,0,0,Yes,0,0,5,2,5,3,Yes,Yes
11/13/2022 0:04:01,V2,V4,,,,65,150,31,Female,1,0,0,0,14,0,1,0,7,Yes,3,0,2,3,,,No,No
11/13/2022 0:22:29,V4,V6,,,,66,145,20,Male,0.17,0,0,0,18,0,0,0,0,No,0,4,3,3,3,3,No,No
11/13/2022 0:42:15,V4,V5,5.11d,5.11d,5.12b,70.75,160,28,Female,4,0,0,,8,0,0,0,0,Yes,2,0,3,3,,,No,No
11/13/2022 0:45:06,V4,V6,5.11,5.1,5.11,64,129,31,Female,2,0,0,0,12,0,0,0,0,Yes,0,0,3,3,3,3,Yes,Yes
11/13/2022 0:50:23,V5,V6,5.10a,5.10a,5.10a,62,108,26,Female,2,143,134,108,12,5,4,15,30,Yes,1,1,5,3,5,2,No,Yes
11/13/2022 1:18:57,V3,V5,,,,64.96,132,32,Female,3,132,132,0,11,0,1,0,30,Yes,0,0,3,3,3,3,No,Yes
11/13/2022 2:05:06,V5,V6,5.11c,5.11c,5.11d,60,125,35,Female,8,0,0,0,10,0,0,0,20,Yes,1,1,3,3,3,4,No,No
11/13/2022 2:34:38,V4,V6,5.9,5.8,5.10b,65,145,30,Female,5,175,0,0,8,0,1,0,12,Yes,4,0,3,2,4,3,Yes,Yes
11/13/2022 2:48:08,V5,V7,5.10a,5.10a,5.10b,62,132,23,Female,1,0,0,0,23,4,3,0,0,Yes,10,0,4,4,1,3,Yes,No
11/13/2022 2:55:37,V4,V5,5.10d,5.10d,5.11c,71,175,27,Female,2,176,0,0,8,0,4,,,Yes,0,0,4,3,3,3,No,Yes
11/13/2022 2:57:48,V2,V3,,,,67,141,20,Other,0.5,141,0,0,12,0,0,0,0,Yes,0,0,3,2,,,Yes,Yes
11/13/2022 2:58:28,V4,V6,5.1,5.1,5.11,65,130,24,Female,3,130,145,0,10,6,4,0,30,Yes,0,0,3,2,4,3,No,No
11/13/2022 3:09:17,V3,V3,5.10a,5.10a,5.10a,61,121,26,Female,2,146,0,0,8,4,0,0,0,Yes,1,6,2,2,5,3,No,No
11/13/2022 3:19:43,V5,V6,,,,65,115,24,Female,2,120,120,0,12,,,,,Yes,,2,2,4,,,No,No
11/13/2022 3:26:36,V3,,5.8,5.8,5.9,66.5,,209,Female,15,209,209,0,8,2,0,0,0,No,5,1,3,3,4,3,No,No
11/13/2022 3:31:32,V4,V5,5.1,5.9,5.11,66,110,19,Female,2,0,0,0,5,10,1,0,0,Yes,0,1,3,3,4,2,No,No
11/13/2022 3:39:51,V6,V9,,,,68,140,24,Male,4.5,220,220,140,15,2,0,0,0,Yes,3,0,4,3,4,3,Yes,Yes
11/13/2022 4:11:08,V4,V7,5.10b,5.10b,5.11b,61,121,27,Female,5,0,0,0,12,0,0,0,12,Yes,0,0,4,3,3,3,No,Yes
11/13/2022 4:13:00,V3,V4,5.1,5.1,5.1,64,140,30,Female,3,0,0,0,10,1,5,0,5,Yes,6,0,4,2,3,3,No,No
11/13/2022 4:15:59,V4,V5,,,,68.9,140,29,Female,5,150,0,0,12,0,1,0,31,Yes,2,0,3,3,3,3,No,Yes
11/13/2022 4:23:38,V3,V5,5.1,5.10a,5.10b,65,118,30,Female,2,0,0,0,4,4,0,0,3,Yes,0,0,3,3,3,3,No,No
11/13/2022 4:29:51,V9,V12,5.9,5.10c,5.10c,66,140,32,Male,12,255,240,140,20,3,0,0,0,Yes,0,0,2,1,2,3,No,Yes
11/13/2022 4:32:01,V1,V2,,,,68,154,27,Female,1,0,0,0,5,0,0,0,0,Yes,5,0,3,3,3,3,No,No
11/13/2022 4:57:55,V3,,,,,76,220,22,Male,1,240,0,0,3,0,0,0,0,Yes,10,0,3,2,3,3,No,No
11/13/2022 5:05:48,V2,V2,5.10b,5.10b,5.10c,66,134,27,Female,1,134,0,0,10,1,0,0,2,Yes,0,0,3,3,3,3,No,No
11/13/2022 5:16:35,V7,V8,5.11d,5.11d,5.12a,68,120,44,Male,21,0,0,0,8,8,0,0,0,Yes,0,0,2,3,3,3,No,No
11/13/2022 5:20:52,V3,V5,,,,69.5,150,34,Female,15,0,0,0,10,0,0,,0,,5,0,3,,,,No,No
11/13/2022 5:22:57,V3,V4,,,,63,115,25,Female,2,,,,8,0,0,0,0,Yes,0,0,4,3,,,No,No
11/13/2022 5:25:34,V3,V5,,,,63,112,25,Female,3,120,0,0,2,1,1,0,0,Yes,0,7,4,5,4,4,No,No
11/13/2022 5:38:24,V2,V3,5.11b,5.11b,5.11b,66,150,28,Female,10,5,,,6,2,0,0,1,Yes,5,0,2,3,3,3,No,No
11/13/2022 5:45:05,V2,V4,5.10c,5.10c,5.11b,64,135,37,Female,10,145,0,0,1,2,0,0,0,Yes,6,0,3,3,3,3,No,No
11/13/2022 5:47:06,V6,V5,5.10d,5.10d,5.10d,67,150,35,Male,4,0,0,0,6,0,0,0,0,Yes,4,1,3,3,4,4,No,No
11/13/2022 5:47:27,V6,V8,,,,72,138,30,Male,1.5,180,138,0,12,0,0,0,1,Yes,0,0,3,,,,No,No
11/13/2022 5:47:38,V2,V3,,,,68,130,29,Female,4,0,0,0,10,1,0,0,0,Yes,3,0,3,2,4,4,No,Yes
11/13/2022 5:51:39,V4,,,,,66,155,26,Female,1,155,,,12,0,0,15,4,Yes,1,0,3,3,,,No,No
11/13/2022 6:04:22,V2,V4,5.10b,5.10b,5.11c,64,135,21,Female,0.5,135,0,0,12,5,0,0,0,Yes,0,0,4,1,5,3,No,No
11/13/2022 6:05:18,V2,V2,,,,70,135,27,Female,1,0,0,0,8,0,0,0,0,No,0,1,,,,,No,No
11/13/2022 6:13:27,V3,V2,5.10a,5.10a,5.10a,68,,33,Male,7,155,0,0,12,0,0,0,30,Yes,0,0,2,2,4,3,No,Yes
11/13/2022 6:19:05,V5,V6,5.11c,5.11c,5.12a,62,125,27,Female,1.5,120,120,0,10,3,5,0,0,Yes,6,0,3,2,3,3,No,No
11/13/2022 6:20:26,V3,V4,,,,69,145,22,Male,0.5,,,,10,,,,10,Yes,3,,3,,,,,
11/13/2022 6:28:25,V4,V5,5.9,5.10a,5.10d,62,125,27,Female,4,125,0,0,8,0,0,0,0,Yes,4,5,3,3,4,3,No,No
11/13/2022 6:29:31,V5,V4,,,,63,111,27,Female,0.25,0,99,45,12,2,10,0,2,Yes,1,0.25,3,3,3,3,Yes,No
11/13/2022 6:39:36,V5,V7,5.1,5.9,5.11,73,175,39,Male,8,0,0,,8,1,0,0,12,Yes,4,1,3,2,3,3,No,No
11/13/2022 6:40:52,,,5.12c,5.12d,5.13a,58,103,26,Female,1,0,0,0,10,3,0,0,4,No,1,0,2,3,4,3,No,No
11/13/2022 6:45:18,V4,V6,,,,60,165,32,Male,1,170,165,0,10,0,1,0,0,No,0,0,3,4,,,Yes,Yes
11/13/2022 7:01:18,V4,V5,5.1,5.11,5.11,63,153,26,Female,2,165,0,0,10,1,0,0,15,No,8,7,2,2,3,3,Yes,Yes
11/13/2022 7:08:29,V5,V7,5.10c,5.10d,5.11b,74,187,22,Male,3,262,227,0,12,2,4,0,15,Yes,5,14,3,2,4,3,Yes,Yes
11/13/2022 7:09:50,V2,V4,5.7,5.7,5.9,65,170,31,Female,5,0,0,0,5,0,3,0,1,No,3,1,3,3,3,3,Yes,Yes
11/13/2022 7:10:42,V3,V4,5.11b,5.11b,5.11d,70,140,25,Female,2,0,0,0,15,3,0,0,25,No,12,0,2,2,3,3,No,No
11/13/2022 7:13:39,V6,V7,5.11a,5.11a,5.11c,63,130,28,Female,6,175,0,0,14,3,0,0,16,Yes,2,0,4,2,4,3,No,Yes
11/13/2022 7:23:59,V4,V7,5.10d,5.11,5.12,68,150,24,Female,3,0,0,0,12,10,0,30,30,Yes,0,7,3,2,3,4,No,Yes
11/13/2022 7:29:45,V3,,,,,62,120,29,Female,2,0,0,0,6,0,0,0,0,Yes,4,0,,,,,No,No
11/13/2022 7:30:25,V10,V11,5.1,5.8,5.11,64,125,25,Other,3,125,0,0,12,0,0,0,2,Yes,5,1,4,2,3,3,No,No
11/13/2022 7:36:46,V6,V8,5.11d,5.12a,5.12b,66,141,29,Female,5,196,203,0,15,2,1,15,28,Yes,0,0,3,2,4,2,Yes,Yes
11/13/2022 7:43:27,V2,V3,5.1,5.1,5.1,66,150,20,Female,2,150,150,0,20,0,0,0,0,Yes,,,4,2,2,3,No,No
11/13/2022 7:47:31,V5,V8,5.12a,5.12b,5.13a,65,120,29,Female,9,0,0,0,8,6,0,0,2,No,4,0,3,3,4,2,Yes,Yes
11/13/2022 7:49:16,V7,V8,5.11d,5.11d,5.11d,72,155,27,Male,3,200,170,0,10,3,1,0,0,No,10,0,3,3,3,3,No,Yes
11/13/2022 8:01:50,V3,V5,5.1,5.9,5.1,60,220,25,Male,3,275,0,0,10,2,0,9,15,Yes,14,0,4,2,3,3,No,No
11/13/2022 8:02:23,V5,V7,5.11d,5.11d,5.12b,65,155,26,Male,3,205,0,0,12,4,0,0,0,Yes,0,5,4,2,4,4,No,Yes
11/13/2022 8:06:09,V5,V7,,,,66,150,29,Male,0.8,185,0,0,13,0,0,0,0,No,1,0,2,3,,,No,No
11/13/2022 8:11:01,V3,V4,5.1,5.1,5.11,67,150,24,Female,4,0,0,0,5,1,0,0,25,Yes,4,0,2,3,3,3,No,No
11/13/2022 8:20:44,V6,V8,5.12b,5.12b,5.12d,74,185,27,Male,2,250,0,0,10,4,0,2,12,Yes,0,15,2,2,4,4,Yes,Yes
11/13/2022 8:21:43,V3,V5,5.11a,5.10b,5.10c,64,115,35,Female,1.5,115,115,0,3,1,3,0,5,Yes,3,0,3,2,3,3,Yes,Yes
11/13/2022 8:24:11,V6,V6,,,,71,147,17,Male,3,1,,,2,0,0,0,0,No,0,0,5,3,5,3,No,No
11/13/2022 8:48:51,V3,V4,5.11a,5.11a,5.11b,63,115,31,Female,8,150,145,0,12,4,0,0,1,No,2,0,2,2,3,4,No,No
11/13/2022 8:52:39,V5,V6,,,,68,148,27,Female,8,0,,,10,0,0,0,0,Yes,15,0,3,2,,,No,Yes
11/13/2022 8:53:31,V8,V8,5.12a,5.12a,5.13b,77.5,176,26,Male,5,315,263,175,12,15,0,0,0,Yes,0,0,2,3,5,3,Yes,Yes
11/13/2022 8:55:06,V4,V5,5.7,5.7,5.1,66,145,17,Female,2,0,0,0,8,2,0,0,0,No,0,0,1,3,2,3,No,No
11/13/2022 8:55:20,V3,V4,,,,66,135,28,Female,1,0,0,0,10,0.25,0,0,0,Yes,0,3,4,2,3,4,No,No
11/13/2022 9:00:51,V0,V5,5.11a,5.11a,5.11d,68,157,31,Female,4,0,0,0,12,1,0,0,0,No,5,0,3,2,3,4,No,No
11/13/2022 9:02:26,V5,V7,,,,77,140,30,Female,6,163,0,0,10,3,0,0,0,Yes,1,0,3,3,3,3,No,No
11/13/2022 9:08:18,V3,V6,5.1,5.8,5.1,63,125,27,Female,1.5,0,0,0,20,2,0,0,30,Yes,0,1,5,2,5,3,No,No
11/13/2022 9:09:38,V5,V7,5.11d,5.11d,5.12b,69,160,28,Male,2,250,220,0,12,4,0,15,15,No,8,1,4,3,3,3,Yes,Yes
11/13/2022 9:15:02,V3,V4,5.10a,5.10a,5.10d,68,168,26,Male,1.25,188,0,0,12,2,0,0,0,Yes,0,7,2,3,4,3,Yes,Yes
11/13/2022 9:16:38,V10,V11,5.12d,5.13a,5.13a,70,150,29,Male,9,220,300,160,10,4,0,0,4,Yes,0,0,2,2,3,3,Yes,Yes
11/13/2022 9:19:45,V2,V3,5.10b,5.10b,5.10c,61,120,36,Female,6,140,0,0,1,0.5,0,0,0,Yes,0.07,0,2,2,2,3,No,No
11/13/2022 9:21:30,V3,V5,5.1,5.1,5.12,64,120,30,Female,7,128,120,0,0,10,10,0,5,Yes,0,14,3,3,3,3,No,Yes
11/13/2022 9:22:18,V5,V6,,,,72,165,26,Male,1,0,0,0,12,0,0,0,0,Yes,4,7,2,3,3,3,No,No
11/13/2022 9:23:28,V4,V3,,,,61,116,33,Female,1.5,116,0,0,3,0,0,4,4,No,5,0,2,3,,,No,No
11/13/2022 9:27:34,V5,V7,5.11b,5.11b,5.11d,71,165,29,Male,8,187,0,0,6,1,5,4,0,Yes,0,0,3,3,4,4,No,Yes
11/13/2022 9:33:43,V4,V4,5.1,5.1,5.1,67,125,22,Female,1,125,0,0,12,4,0,0,0,Yes,1,0,3,3,4,3,No,No
11/13/2022 9:49:52,V6,V5,,,,65,145,30,Female,4,145,145,0,9,1,1,0,0,Yes,0,4,3,3,4,4,No,No
11/13/2022 9:55:26,V6,V7,5.9,5.9,5.1,165,125,31,Female,6,160,175,0,10,4,8,0,4,Yes,2,0,4,2,4,3,No,No
11/13/2022 10:11:39,V3,V4,5.10d,5.10d,5.10d,59,99,31,Female,3.9,0,0,0,7,1,0,0,0,Yes,0.5,0,3,4,3,4,Yes,No
11/13/2022 10:12:18,V3,V4,5.1,5.1,5.11,68,150,23,Male,6,0,0,0,8,1,1,0,0,Yes,5,0,3,2,3,3,No,No
11/13/2022 10:12:55,V3,V4,,,,66,135,27,Female,1,0,0,0,14,0,0,0,0,Yes,2,3,4,3,3,3,No,No
11/13/2022 10:15:21,V6,V7,5.11,5.11,5.12,61,110,27,Female,4.5,0,0,0,6,2,0,0,0,No,3,0,3,3,3,3,No,No
11/13/2022 10:18:41,V4,V5,5.1,5.1,5.11,63,140,24,Female,3,0,0,0,8,3,0,0,14,No,0,1,3,3,4,3,Yes,Yes
11/13/2022 10:29:07,V3,V4,5.1,5.11,5.11,68,135,32,Male,0.25,175,135,0,12,0,2,0,16,Yes,0,0,3,3,3,3,No,No
11/13/2022 10:35:58,V4,V5,5.10d,5.10d,5.11a,64,110,33,Female,10,135,140,120,12,4,0,0,2,Yes,7,0,3,2,5,3,No,No
11/13/2022 10:48:43,V5,V6,5.11d,5.11d,5.12b,68,161,26,Male,6,217,205,0,12,1,1,0,2,No,15,1,3,3,4,3,Yes,Yes
11/13/2022 10:53:39,V9,V5,5.1,5.1,5.1,61,107,26,Female,6,137,127,117,3,4,3,0,0,Yes,0,0,4,3,4,3,No,No
11/13/2022 11:19:21,V6,V7,5.11c,,5.12c,74,165,28,Male,12,220,,,0,14,0,0,2,No,1,12,2,2,2,3,No,No
11/13/2022 11:42:09,V10,V11,5.13a,5.13a,5.14a,69,160,31,Male,18,0,0,0,10,4,0,0,0,No,0,7,1,2,3,3,No,Yes
11/13/2022 12:05:53,V7,V8,5.11d,5.11d,5.12a,66,134,21,Female,2,0,0,0,15,1,0,0,20,Yes,2,0.5,2,3,4,3,No,No
11/13/2022 12:08:01,V2,V3,,,,65,142,23,Female,1,142,0,0,11,1,0,0,0,No,0,0,3,2,3,,No,No
11/13/2022 12:08:34,V1,,,,,64,130,26,Female,0.5,130,0,0,8,0,0,0,5,Yes,0,0,4,3,,,No,No
11/13/2022 12:20:00,V4,V8,5.10b,5.10b,5.10d,68,125,32,Female,3,0,0,0,10,4,0,0,0,Yes,3,0,4,2,4,3,No,No
11/13/2022 12:53:00,V3,V4,,,,62.2,100,26,Female,0.4,0,0,0,10,0,0,0,0,Yes,1,0,3,3,,,No,No
11/13/2022 13:09:57,V3,V4,,,,68,150,32,Other,0.5,0,0,0,10,0,0,0,0,Yes,0,0,3,3,,,No,No
11/13/2022 13:24:39,V5,V7,,,,70,130,31,Female,11,0,,,9,0,0,0,25,Yes,7,3,3,3,,,No,Yes
